User Details
Email,FirstName LastName,DateOfBirth,Gender
john.doe@example.com,John Doe,5/15/1985 12:00:00 AM,Male
User Physique Details
Height,RecentClothesWeight
180,1
User Scan Details
BodyMetricTypeId,Value,CreatedDate
WaterMass,52.3,8/27/2023 8:15:30 AM
IntraCellularWaterMass,30.2,8/27/2023 8:15:30 AM
BasalMetabolicRatekJ,9205,8/27/2023 8:15:30 AM
MuscleScore,0,8/27/2023 8:15:30 AM
LegMuscleScore,88,8/27/2023 8:15:30 AM
BoditraxScore,720,8/27/2023 8:15:30 AM
BodyWeight,100.0,9/24/2023 8:15:30 AM
MuscleMass,64.9,9/24/2023 8:15:30 AM
FatMass,30.0,9/24/2023 8:15:30 AM
VisceralFatRating,12,9/24/2023 8:15:30 AM
MetabolicAge,45,9/24/2023 8:15:30 AM
BodyMassIndex,30.9,9/24/2023 8:15:30 AM
Age,40,9/24/2023 8:15:30 AM
Height,180,9/24/2023 8:15:30 AM
BoneMass,3.6,9/24/2023 8:15:30 AM
WaterMass,52.3,9/24/2023 8:15:30 AM
IntraCellularWaterMass,30.0,9/24/2023 8:15:30 AM
BasalMetabolicRatekJ,9234,9/24/2023 8:15:30 AM
MuscleScore,0,9/24/2023 8:15:30 AM
LegMuscleScore,88,9/24/2023 8:15:30 AM
BoditraxScore,720,9/24/2023 8:15:30 AM
BodyWeight,99.8,10/22/2023 8:15:30 AM
MuscleMass,65.0,10/22/2023 8:15:30 AM
FatMass,30.1,10/22/2023 8:15:30 AM
VisceralFatRating,12,10/22/2023 8:15:30 AM
MetabolicAge,45,10/22/2023 8:15:30 AM
BodyMassIndex,30.8,10/22/2023 8:15:30 AM
Age,40,10/22/2023 8:15:30 AM
Height,180,10/22/2023 8:15:30 AM
BoneMass,3.6,10/22/2023 8:15:30 AM
WaterMass,52.2,10/22/2023 8:15:30 AM
IntraCellularWaterMass,30.0,10/22/2023 8:15:30 AM
BasalMetabolicRatekJ,9221,10/22/2023 8:15:30 AM
MuscleScore,0,10/22/2023 8:15:30 AM
LegMuscleScore,88,10/22/2023 8:15:30 AM
BoditraxScore,720,10/22/2023 8:15:30 AM
BodyWeight,100.0,11/19/2023 8:15:30 AM
MuscleMass,65.0,11/19/2023 8:15:30 AM
FatMass,30.0,11/19/2023 8:15:30 AM
VisceralFatRating,12,11/19/2023 8:15:30 AM
MetabolicAge,45,11/19/2023 8:15:30 AM
BodyMassIndex,30.9,11/19/2023 8:15:30 AM
Age,40,11/19/2023 8:15:30 AM
Height,180,11/19/2023 8:15:30 AM
BoneMass,3.6,11/19/2023 8:15:30 AM
WaterMass,52.2,11/19/2023 8:15:30 AM
IntraCellularWaterMass,30.1,11/19/2023 8:15:30 AM
BasalMetabolicRatekJ,9205,11/19/2023 8:15:30 AM
MuscleScore,0,11/19/2023 8:15:30 AM
LegMuscleScore,88,11/19/2023 8:15:30 AM
BoditraxScore,720,11/19/2023 8:15:30 AM
BodyWeight,100.1,12/17/2023 8:15:30 AM
MuscleMass,65.0,12/17/2023 8:15:30 AM
FatMass,29.9,12/17/2023 8:15:30 AM
VisceralFatRating,12,12/17/2023 8:15:30 AM
MetabolicAge,45,12/17/2023 8:15:30 AM
BodyMassIndex,30.9,12/17/2023 8:15:30 AM
Age,40,12/17/2023 8:15:30 AM
Height,180,12/17/2023 8:15:30 AM
BoneMass,3.6,12/17/2023 8:15:30 AM
WaterMass,52.0,12/17/2023 8:15:30 AM
IntraCellularWaterMass,30.1,12/17/2023 8:15:30 AM
BasalMetabolicRatekJ,9253,12/17/2023 8:15:30 AM
MuscleScore,0,12/17/2023 8:15:30 AM
LegMuscleScore,88,12/17/2023 8:15:30 AM
BoditraxScore,720,12/17/2023 8:15:30 AM
BodyWeight,100.1,1/14/2024 8:15:30 AM
MuscleMass,65.0,1/14/2024 8:15:30 AM
FatMass,29.9,1/14/2024 8:15:30 AM
VisceralFatRating,12,1/14/2024 8:15:30 AM
MetabolicAge,45,1/14/2024 8:15:30 AM
BodyMassIndex,30.9,1/14/2024 8:15:30 AM
Age,40,1/14/2024 8:15:30 AM
Height,180,1/14/2024 8:15:30 AM
BoneMass,3.6,1/14/2024 8:15:30 AM
WaterMass,52.0,1/14/2024 8:15:30 AM
IntraCellularWaterMass,30.1,1/14/2024 8:15:30 AM
BasalMetabolicRatekJ,9213,1/14/2024 8:15:30 AM
MuscleScore,0,1/14/2024 8:15:30 AM
LegMuscleScore,88,1/14/2024 8:15:30 AM
BoditraxScore,720,1/14/2024 8:15:30 AM
BodyWeight,99.8,2/11/2024 8:15:30 AM
MuscleMass,65.0,2/11/2024 8:15:30 AM
FatMass,29.8,2/11/2024 8:15:30 AM
VisceralFatRating,12,2/11/2024 8:15:30 AM
MetabolicAge,45,2/11/2024 8:15:30 AM
BodyMassIndex,30.8,2/11/2024 8:15:30 AM
Age,40,2/11/2024 8:15:30 AM
Height,180,2/11/2024 8:15:30 AM
BoneMass,3.6,2/11/2024 8:15:30 AM
WaterMass,52.3,2/11/2024 8:15:30 AM
IntraCellularWaterMass,30.1,2/11/2024 8:15:30 AM
BasalMetabolicRatekJ,9266,2/11/2024 8:15:30 AM
MuscleScore,0,2/11/2024 8:15:30 AM
LegMuscleScore,88,2/11/2024 8:15:30 AM
BoditraxScore,720,2/11/2024 8:15:30 AM
BodyWeight,99.9,3/10/2024 8:15:30 AM
MuscleMass,65.1,3/10/2024 8:15:30 AM
FatMass,30.1,3/10/2024 8:15:30 AM
VisceralFatRating,12,3/10/2024 8:15:30 AM
MetabolicAge,45,3/10/2024 8:15:30 AM
BodyMassIndex,30.8,3/10/2024 8:15:30 AM
Age,40,3/10/2024 8:15:30 AM
Height,180,3/10/2024 8:15:30 AM
BoneMass,3.6,3/10/2024 8:15:30 AM
WaterMass,52.2,3/10/2024 8:15:30 AM
IntraCellularWaterMass,30.1,3/10/2024 8:15:30 AM
BasalMetabolicRatekJ,9248,3/10/2024 8:15:30 AM
MuscleScore,0,3/10/2024 8:15:30 AM
LegMuscleScore,88,3/10/2024 8:15:30 AM
BoditraxScore,720,3/10/2024 8:15:30 AM
BodyWeight,100.0,4/7/2024 8:15:30 AM
MuscleMass,64.9,4/7/2024 8:15:30 AM
FatMass,30.0,4/7/2024 8:15:30 AM
VisceralFatRating,12,4/7/2024 8:15:30 AM
MetabolicAge,45,4/7/2024 8:15:30 AM
BodyMassIndex,30.9,4/7/2024 8:15:30 AM
Age,40,4/7/2024 8:15:30 AM
Height,180,4/7/2024 8:15:30 AM
BoneMass,3.6,4/7/2024 8:15:30 AM
WaterMass,52.1,4/7/2024 8:15:30 AM
IntraCellularWaterMass,30.1,4/7/2024 8:15:30 AM
BasalMetabolicRatekJ,9209,4/7/2024 8:15:30 AM
MuscleScore,0,4/7/2024 8:15:30 AM
LegMuscleScore,88,4/7/2024 8:15:30 AM
BoditraxScore,720,4/7/2024 8:15:30 AM
BodyWeight,99.9,5/5/2024 8:15:30 AM
MuscleMass,65.0,5/5/2024 8:15:30 AM
FatMass,30.1,5/5/2024 8:15:30 AM
VisceralFatRating,12,5/5/2024 8:15:30 AM
MetabolicAge,45,5/5/2024 8:15:30 AM
BodyMassIndex,30.8,5/5/2024 8:15:30 AM
Age,40,5/5/2024 8:15:30 AM
Height,180,5/5/2024 8:15:30 AM
BoneMass,3.6,5/5/2024 8:15:30 AM
WaterMass,52.0,5/5/2024 8:15:30 AM
IntraCellularWaterMass,30.2,5/5/2024 8:15:30 AM
BasalMetabolicRatekJ,9221,5/5/2024 8:15:30 AM
MuscleScore,0,5/5/2024 8:15:30 AM
LegMuscleScore,88,5/5/2024 8:15:30 AM
BoditraxScore,720,5/5/2024 8:15:30 AM
BodyWeight,100.1,6/2/2024 8:15:30 AM
MuscleMass,65.0,6/2/2024 8:15:30 AM
FatMass,29.8,6/2/2024 8:15:30 AM
VisceralFatRating,12,6/2/2024 8:15:30 AM
MetabolicAge,45,6/2/2024 8:15:30 AM
BodyMassIndex,30.9,6/2/2024 8:15:30 AM
Age,40,6/2/2024 8:15:30 AM
Height,180,6/2/2024 8:15:30 AM
BoneMass,3.6,6/2/2024 8:15:30 AM
WaterMass,52.0,6/2/2024 8:15:30 AM
IntraCellularWaterMass,30.1,6/2/2024 8:15:30 AM
BasalMetabolicRatekJ,9294,6/2/2024 8:15:30 AM
MuscleScore,0,6/2/2024 8:15:30 AM
LegMuscleScore,88,6/2/2024 8:15:30 AM
BoditraxScore,720,6/2/2024 8:15:30 AM
BodyWeight,100.1,6/30/2024 8:15:30 AM
MuscleMass,65.0,6/30/2024 8:15:30 AM
FatMass,30.2,6/30/2024 8:15:30 AM
VisceralFatRating,12,6/30/2024 8:15:30 AM
MetabolicAge,45,6/30/2024 8:15:30 AM
BodyMassIndex,30.9,6/30/2024 8:15:30 AM
Age,40,6/30/2024 8:15:30 AM
Height,180,6/30/2024 8:15:30 AM
BoneMass,3.6,6/30/2024 8:15:30 AM
WaterMass,52.0,6/30/2024 8:15:30 AM
IntraCellularWaterMass,30.1,6/30/2024 8:15:30 AM
BasalMetabolicRatekJ,9249,6/30/2024 8:15:30 AM
MuscleScore,0,6/30/2024 8:15:30 AM
LegMuscleScore,88,6/30/2024 8:15:30 AM
BoditraxScore,720,6/30/2024 8:15:30 AM
BodyWeight,100.2,7/28/2024 8:15:30 AM
MuscleMass,65.0,7/28/2024 8:15:30 AM
FatMass,30.1,7/28/2024 8:15:30 AM
VisceralFatRating,12,7/28/2024 8:15:30 AM
MetabolicAge,45,7/28/2024 8:15:30 AM
BodyMassIndex,30.9,7/28/2024 8:15:30 AM
Age,40,7/28/2024 8:15:30 AM
Height,180,7/28/2024 8:15:30 AM
BoneMass,3.6,7/28/2024 8:15:30 AM
WaterMass,52.1,7/28/2024 8:15:30 AM
IntraCellularWaterMass,30.1,7/28/2024 8:15:30 AM
BasalMetabolicRatekJ,9256,7/28/2024 8:15:30 AM
MuscleScore,0,7/28/2024 8:15:30 AM
LegMuscleScore,88,7/28/2024 8:15:30 AM
BoditraxScore,720,7/28/2024 8:15:30 AM
BodyWeight,100.2,8/25/2024 8:15:30 AM
MuscleMass,65.0,8/25/2024 8:15:30 AM
FatMass,30.0,8/25/2024 8:15:30 AM
VisceralFatRating,12,8/25/2024 8:15:30 AM
MetabolicAge,45,8/25/2024 8:15:30 AM
BodyMassIndex,30.9,8/25/2024 8:15:30 AM
Age,40,8/25/2024 8:15:30 AM
Height,180,8/25/2024 8:15:30 AM
BoneMass,3.6,8/25/2024 8:15:30 AM
WaterMass,52.3,8/25/2024 8:15:30 AM
IntraCellularWaterMass,30.1,8/25/2024 8:15:30 AM
BasalMetabolicRatekJ,9273,8/25/2024 8:15:30 AM
MuscleScore,0,8/25/2024 8:15:30 AM
LegMuscleScore,88,8/25/2024 8:15:30 AM
BoditraxScore,720,8/25/2024 8:15:30 AM
BodyWeight,100.1,9/22/2024 8:15:30 AM
MuscleMass,65.0,9/22/2024 8:15:30 AM
FatMass,30.2,9/22/2024 8:15:30 AM
VisceralFatRating,12,9/22/2024 8:15:30 AM
MetabolicAge,45,9/22/2024 8:15:30 AM
BodyMassIndex,30.9,9/22/2024 8:15:30 AM
Age,40,9/22/2024 8:15:30 AM
Height,180,9/22/2024 8:15:30 AM
BoneMass,3.6,9/22/2024 8:15:30 AM
WaterMass,52.1,9/22/2024 8:15:30 AM
IntraCellularWaterMass,30.2,9/22/2024 8:15:30 AM
BasalMetabolicRatekJ,9229,9/22/2024 8:15:30 AM
MuscleScore,0,9/22/2024 8:15:30 AM
LegMuscleScore,88,9/22/2024 8:15:30 AM
BoditraxScore,720,9/22/2024 8:15:30 AM
BodyWeight,100.2,10/20/2024 8:15:30 AM
MuscleMass,65.1,10/20/2024 8:15:30 AM
FatMass,30.0,10/20/2024 8:15:30 AM
VisceralFatRating,12,10/20/2024 8:15:30 AM
MetabolicAge,45,10/20/2024 8:15:30 AM
BodyMassIndex,30.9,10/20/2024 8:15:30 AM
Age,40,10/20/2024 8:15:30 AM
Height,180,10/20/2024 8:15:30 AM
BoneMass,3.6,10/20/2024 8:15:30 AM
WaterMass,52.3,10/20/2024 8:15:30 AM
IntraCellularWaterMass,30.1,10/20/2024 8:15:30 AM
BasalMetabolicRatekJ,9266,10/20/2024 8:15:30 AM
MuscleScore,0,10/20/2024 8:15:30 AM
LegMuscleScore,88,10/20/2024 8:15:30 AM
BoditraxScore,720,10/20/2024 8:15:30 AM
BodyWeight,100.0,11/17/2024 8:15:30 AM
MuscleMass,65.0,11/17/2024 8:15:30 AM
FatMass,30.0,11/17/2024 8:15:30 AM
VisceralFatRating,12,11/17/2024 8:15:30 AM
MetabolicAge,45,11/17/2024 8:15:30 AM
BodyMassIndex,30.9,11/17/2024 8:15:30 AM
Age,40,11/17/2024 8:15:30 AM
Height,180,11/17/2024 8:15:30 AM
BoneMass,3.6,11/17/2024 8:15:30 AM
WaterMass,52.0,11/17/2024 8:15:30 AM
IntraCellularWaterMass,30.1,11/17/2024 8:15:30 AM
BasalMetabolicRatekJ,9244,11/17/2024 8:15:30 AM
MuscleScore,0,11/17/2024 8:15:30 AM
LegMuscleScore,88,11/17/2024 8:15:30 AM
BoditraxScore,720,11/17/2024 8:15:30 AM
BodyWeight,100.1,12/15/2024 8:15:30 AM
MuscleMass,65.1,12/15/2024 8:15:30 AM
FatMass,30.2,12/15/2024 8:15:30 AM
VisceralFatRating,12,12/15/2024 8:15:30 AM
MetabolicAge,45,12/15/2024 8:15:30 AM
BodyMassIndex,30.9,12/15/2024 8:15:30 AM
Age,40,12/15/2024 8:15:30 AM
Height,180,12/15/2024 8:15:30 AM
BoneMass,3.6,12/15/2024 8:15:30 AM
WaterMass,52.3,12/15/2024 8:15:30 AM
IntraCellularWaterMass,30.0,12/15/2024 8:15:30 AM
BasalMetabolicRatekJ,9265,12/15/2024 8:15:30 AM
MuscleScore,0,12/15/2024 8:15:30 AM
LegMuscleScore,88,12/15/2024 8:15:30 AM
BoditraxScore,720,12/15/2024 8:15:30 AM
BodyWeight,99.5,1/12/2025 8:15:30 AM
MuscleMass,65.1,1/12/2025 8:15:30 AM
FatMass,29.4,1/12/2025 8:15:30 AM
VisceralFatRating,12,1/12/2025 8:15:30 AM
MetabolicAge,45,1/12/2025 8:15:30 AM
BodyMassIndex,30.7,1/12/2025 8:15:30 AM
Age,40,1/12/2025 8:15:30 AM
Height,180,1/12/2025 8:15:30 AM
BoneMass,3.6,1/12/2025 8:15:30 AM
WaterMass,52.2,1/12/2025 8:15:30 AM
IntraCellularWaterMass,30.1,1/12/2025 8:15:30 AM
BasalMetabolicRatekJ,9212,1/12/2025 8:15:30 AM
MuscleScore,0,1/12/2025 8:15:30 AM
LegMuscleScore,88,1/12/2025 8:15:30 AM
BoditraxScore,725,1/12/2025 8:15:30 AM
BodyWeight,98.4,2/9/2025 8:15:30 AM
MuscleMass,65.4,2/9/2025 8:15:30 AM
FatMass,28.0,2/9/2025 8:15:30 AM
VisceralFatRating,12,2/9/2025 8:15:30 AM
MetabolicAge,44,2/9/2025 8:15:30 AM
BodyMassIndex,30.4,2/9/2025 8:15:30 AM
Age,40,2/9/2025 8:15:30 AM
Height,180,2/9/2025 8:15:30 AM
BoneMass,3.6,2/9/2025 8:15:30 AM
WaterMass,52.5,2/9/2025 8:15:30 AM
IntraCellularWaterMass,30.3,2/9/2025 8:15:30 AM
BasalMetabolicRatekJ,9242,2/9/2025 8:15:30 AM
MuscleScore,0,2/9/2025 8:15:30 AM
LegMuscleScore,89,2/9/2025 8:15:30 AM
BoditraxScore,736,2/9/2025 8:15:30 AM
BodyWeight,97.3,3/9/2025 8:15:30 AM
MuscleMass,65.7,3/9/2025 8:15:30 AM
FatMass,26.6,3/9/2025 8:15:30 AM
VisceralFatRating,12,3/9/2025 8:15:30 AM
MetabolicAge,43,3/9/2025 8:15:30 AM
BodyMassIndex,30.0,3/9/2025 8:15:30 AM
Age,40,3/9/2025 8:15:30 AM
Height,180,3/9/2025 8:15:30 AM
BoneMass,3.6,3/9/2025 8:15:30 AM
WaterMass,52.9,3/9/2025 8:15:30 AM
IntraCellularWaterMass,30.5,3/9/2025 8:15:30 AM
BasalMetabolicRatekJ,9272,3/9/2025 8:15:30 AM
MuscleScore,0,3/9/2025 8:15:30 AM
LegMuscleScore,90,3/9/2025 8:15:30 AM
BoditraxScore,747,3/9/2025 8:15:30 AM
BodyWeight,96.2,4/6/2025 8:15:30 AM
MuscleMass,66.0,4/6/2025 8:15:30 AM
FatMass,25.2,4/6/2025 8:15:30 AM
VisceralFatRating,11,4/6/2025 8:15:30 AM
MetabolicAge,42,4/6/2025 8:15:30 AM
BodyMassIndex,29.7,4/6/2025 8:15:30 AM
Age,40,4/6/2025 8:15:30 AM
Height,180,4/6/2025 8:15:30 AM
BoneMass,3.7,4/6/2025 8:15:30 AM
WaterMass,53.3,4/6/2025 8:15:30 AM
IntraCellularWaterMass,30.8,4/6/2025 8:15:30 AM
BasalMetabolicRatekJ,9302,4/6/2025 8:15:30 AM
MuscleScore,0,4/6/2025 8:15:30 AM
LegMuscleScore,91,4/6/2025 8:15:30 AM
BoditraxScore,758,4/6/2025 8:15:30 AM
BodyWeight,95.1,5/4/2025 8:15:30 AM
MuscleMass,66.3,5/4/2025 8:15:30 AM
FatMass,23.8,5/4/2025 8:15:30 AM
VisceralFatRating,11,5/4/2025 8:15:30 AM
MetabolicAge,41,5/4/2025 8:15:30 AM
BodyMassIndex,29.3,5/4/2025 8:15:30 AM
Age,40,5/4/2025 8:15:30 AM
Height,180,5/4/2025 8:15:30 AM
BoneMass,3.7,5/4/2025 8:15:30 AM
WaterMass,53.6,5/4/2025 8:15:30 AM
IntraCellularWaterMass,31.0,5/4/2025 8:15:30 AM
BasalMetabolicRatekJ,9331,5/4/2025 8:15:30 AM
MuscleScore,0,5/4/2025 8:15:30 AM
LegMuscleScore,91,5/4/2025 8:15:30 AM
BoditraxScore,769,5/4/2025 8:15:30 AM
BodyWeight,94.0,6/1/2025 8:15:30 AM
MuscleMass,66.6,6/1/2025 8:15:30 AM
FatMass,22.3,6/1/2025 8:15:30 AM
VisceralFatRating,10,6/1/2025 8:15:30 AM
MetabolicAge,39,6/1/2025 8:15:30 AM
BodyMassIndex,29.0,6/1/2025 8:15:30 AM
Age,40,6/1/2025 8:15:30 AM
Height,180,6/1/2025 8:15:30 AM
BoneMass,3.7,6/1/2025 8:15:30 AM
WaterMass,54.0,6/1/2025 8:15:30 AM
IntraCellularWaterMass,31.2,6/1/2025 8:15:30 AM
BasalMetabolicRatekJ,9361,6/1/2025 8:15:30 AM
MuscleScore,0,6/1/2025 8:15:30 AM
LegMuscleScore,92,6/1/2025 8:15:30 AM
BoditraxScore,780,6/1/2025 8:15:30 AM
BodyWeight,92.8,6/29/2025 8:15:30 AM
MuscleMass,66.9,6/29/2025 8:15:30 AM
FatMass,20.9,6/29/2025 8:15:30 AM
VisceralFatRating,10,6/29/2025 8:15:30 AM
MetabolicAge,38,6/29/2025 8:15:30 AM
BodyMassIndex,28.7,6/29/2025 8:15:30 AM
Age,40,6/29/2025 8:15:30 AM
Height,180,6/29/2025 8:15:30 AM
BoneMass,3.7,6/29/2025 8:15:30 AM
WaterMass,54.4,6/29/2025 8:15:30 AM
IntraCellularWaterMass,31.4,6/29/2025 8:15:30 AM
BasalMetabolicRatekJ,9391,6/29/2025 8:15:30 AM
MuscleScore,0,6/29/2025 8:15:30 AM
LegMuscleScore,93,6/29/2025 8:15:30 AM
BoditraxScore,792,6/29/2025 8:15:30 AM
BodyWeight,91.7,7/27/2025 8:15:30 AM
MuscleMass,67.2,7/27/2025 8:15:30 AM
FatMass,19.5,7/27/2025 8:15:30 AM
VisceralFatRating,10,7/27/2025 8:15:30 AM
MetabolicAge,37,7/27/2025 8:15:30 AM
BodyMassIndex,28.3,7/27/2025 8:15:30 AM
Age,40,7/27/2025 8:15:30 AM
Height,180,7/27/2025 8:15:30 AM
BoneMass,3.7,7/27/2025 8:15:30 AM
WaterMass,54.8,7/27/2025 8:15:30 AM
IntraCellularWaterMass,31.7,7/27/2025 8:15:30 AM
BasalMetabolicRatekJ,9421,7/27/2025 8:15:30 AM
MuscleScore,0,7/27/2025 8:15:30 AM
LegMuscleScore,94,7/27/2025 8:15:30 AM
BoditraxScore,803,7/27/2025 8:15:30 AM
BodyWeight,90.6,8/24/2025 8:15:30 AM
MuscleMass,67.5,8/24/2025 8:15:30 AM
FatMass,18.1,8/24/2025 8:15:30 AM
VisceralFatRating,9,8/24/2025 8:15:30 AM
MetabolicAge,36,8/24/2025 8:15:30 AM
BodyMassIndex,28.0,8/24/2025 8:15:30 AM
Age,40,8/24/2025 8:15:30 AM
Height,180,8/24/2025 8:15:30 AM
BoneMass,3.7,8/24/2025 8:15:30 AM
